origin,destination,distance_meters,duration_minutes,unlevel_percent,intersect_lon,intersect_lat
Alameda João Alves Cerqueira,Rua de Olivença,85.98797245489004,1.0318556694586805,4.161184943133148,-8.831607999896415,41.690388000016995
Rua de Olivença,Alameda João Alves Cerqueira,72.59139124820535,0.8710966949784642,0.4479355520861462,-8.831607999896415,41.690388000016995
Alameda João Alves Cerqueira,Rua do Marquês; Largo Amadeu Costa,109.85562230177429,1.3182674676212913,1.661892114911317,-8.831607999896415,41.690388000016995
Rua do Marquês; Largo Amadeu Costa,Alameda João Alves Cerqueira,72.59139124820535,0.8710966949784642,0.4479355520861462,-8.831607999896415,41.690388000016995
Rua de Olivença,Rua do Marquês; Largo Amadeu Costa,109.85562230177429,1.3182674676212913,1.661892114911317,-8.831607999896415,41.690388000016995
Rua do Marquês; Largo Amadeu Costa,Rua de Olivença,85.98797245489004,1.0318556694586805,4.161184943133148,-8.831607999896415,41.690388000016995
Alameda João Alves Cerqueira,Largo Infante Dom Henrique,38.07624139852226,0.45691489678226704,3.567587440298931,-8.8324942,41.6899031
Largo Infante Dom Henrique,Alameda João Alves Cerqueira,66.34649380321252,0.7961579256385504,0.569559800069192,-8.8324942,41.6899031
Alameda João Alves Cerqueira,Avenida do Campo do Castelo; Alameda João Alves Cerqueira,224.33670547995516,2.692040465759462,0.24303004358680208,-8.8332083,41.68963579999999
Avenida do Campo do Castelo; Alameda João Alves Cerqueira,Alameda João Alves Cerqueira,66.34649380321252,0.7961579256385504,0.569559800069192,-8.8332083,41.68963579999999
Alameda João Alves Cerqueira,Rua Góis Pinto,58.501674833030776,0.7020200979963692,0.8241335985403186,-8.8332083,41.68963579999999
Rua Góis Pinto,Alameda João Alves Cerqueira,66.34649380321252,0.7961579256385504,0.569559800069192,-8.8332083,41.68963579999999
Avenida do Campo do Castelo; Alameda João Alves Cerqueira,Rua Góis Pinto,58.501674833030776,0.7020200979963692,0.8241335985403186,-8.8332083,41.68963579999999
Rua Góis Pinto,Avenida do Campo do Castelo; Alameda João Alves Cerqueira,224.33670547995516,2.692040465759462,0.24303004358680208,-8.8332083,41.68963579999999
Largo Infante Dom Henrique,Rua Góis Pinto,55.314553104823624,0.6637746372578834,2.8688165508581385,-8.833390600000001,41.690144000000004
Rua Góis Pinto,Largo Infante Dom Henrique,63.718095285795485,0.7646171434295459,0.7821770066569738,-8.833390600000001,41.690144000000004
